text_a	text_b
积分兑换的车票为什么没有票价？	积分兑换的车票能否改签
如何兑换车票？	积分兑换的车票能否改签
积分兑换的车票是否可以办理改签？	积分兑换的车票能否改签
积分兑换的车票是否可以办理改签？	积分兑换的车票能否改签
积分兑换的车票，开车后是否可以办理改签？	积分兑换的车票能否改签
网购未取票，为什么显示已出票？	积分兑换的车票能否改签
办理“车票改签”时产生票价差额如何收款或退款？	积分兑换的车票能否改签
2015年春运改签后车票退票办法：	积分兑换的车票能否改签
退票、改签、变更到站后，铁路如何退款？	积分兑换的车票能否改签
积分兑换的车票，如何购买乘意险？	积分兑换的车票能否改签
部分旅客反映登录12306时，查询有余票但预定时显示票已售完的情况。	积分兑换的车票能否改签
为什么自动售票机无法办理兑换车票业务？	积分兑换的车票能否改签
因积分兑换的车票不能使用，需要重新购买车票，出现行程冲突时，如何处理？	积分兑换的车票能否改签
POS购票，退票（改签）未到帐 	积分兑换的车票能否改签
网购车票后收到了短信或邮件，但在订单查询中查不到订单，无法办理改签或退票，怎么办？	积分兑换的车票能否改签
我怎么确认收到了退票或改签的退还票款？	积分兑换的车票能否改签
积分兑换车票时如何换算？	积分兑换的车票能否改签
普通纸质车票是否可以在12306.cn网站办理改签、退票	积分兑换的车票能否改签
提交网购订单时，为什么会提示“没有充足的票额”？	积分兑换的车票能否改签
积分兑换的车票可否办理退票或变更到站？	积分兑换的车票能否改签
为什么网站办理不了改签或退票？	积分兑换的车票能否改签
“会员手册—积分兑换—积分兑换的车票不办理退票、变更到站业务。”变更为：	积分兑换的车票能否改签
为什么网站显示有余票，但提交时却发现没票了？	积分兑换的车票能否改签
积分可以兑换哪些车次？ 	积分兑换的车票能否改签
我无法在网站或车站办理积分车票改签业务怎么办？	积分兑换的车票能否改签
在12306.cn网站购买的车票，如何办理退票？	积分兑换的车票能否改签
互联网改签车票是否成功？	积分兑换的车票能否改签
旅客已成功购买车票后，仍能提交与所购车票行程冲突的候补订单，是否可以成功兑换车票？	积分兑换的车票能否改签
车票预订界面，日期无法选择或不显示	积分兑换的车票能否改签
改签后车票票价多退少补：	积分兑换的车票能否改签
